"time_period","time_identifier","geographic_level","country_code","country_name","group","stem","pathway","top_10_subjects","percentage","all_occupations_percentage"
2019,"Calendar year","National","E92000001","England","Design and development engineers","Not STEM","Higher Education","Education",0.0119047619047619,0.0370770601347822
2019,"Calendar year","National","E92000001","England","Design and development engineers","Not STEM","Higher Education","Languages",0.0119047619047619,0.0213797330216345
2019,"Calendar year","National","E92000001","England","Design and development engineers","Not STEM","Higher Education","Social studies",0.0119047619047619,0.0403877832313588
2019,"Calendar year","National","E92000001","England","Design and development engineers","STEM","Apprenticeship","Construction, Planning and the Built Environment",0.0119047619047619,0.0076610171244744
2019,"Calendar year","National","E92000001","England","Design and development engineers","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0714285714285714,0.0287368954584715
2019,"Calendar year","National","E92000001","England","Design and development engineers","STEM","Further Education","Construction, Planning and the Built Environment",0.0476190476190476,0.0200738043641291
2019,"Calendar year","National","E92000001","England","Design and development engineers","STEM","Further Education","Engineering and Manufacturing Technologies",0.0952380952380952,0.0257306735488676
2019,"Calendar year","National","E92000001","England","Design and development engineers","STEM","Higher Education","Architecture, building & planning",0.0238095238095238,0.0085897134197746
2019,"Calendar year","National","E92000001","England","Design and development engineers","STEM","Higher Education","Computer science",0.0357142857142857,0.0174406125710503
2019,"Calendar year","National","E92000001","England","Design and development engineers","STEM","Higher Education","Engineering & technology",0.5,0.0204116002668749
2019,"Calendar year","National","E92000001","England","Design and development engineers","STEM","Higher Education","Physical sciences",0.0238095238095238,0.0177797014724669
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","Not STEM","Apprenticeship","Business, Administration, Finance and Law",0.0341413451689997,0.0303208188301982
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0627701121668096,0.0525235455057952
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","Not STEM","Higher Education","Creative arts & design",0.0358067766406582,0.0440951336702026
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","Not STEM","Higher Education","Social studies",0.0506874068399271,0.0403877832313588
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0807734263754382,0.00730544249000512
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM","Further Education","Information and Communication Technology (ICT)",0.0482975126780971,0.0223688770047944
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM","Higher Education","Biological sciences",0.0320429015147099,0.0398495725346394
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM","Higher Education","Computer science",0.220661342837396,0.0174406125710503
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM","Higher Education","Engineering & technology",0.0512120177534995,0.0204116002668749
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM","Higher Education","Physical sciences",0.0498463639467395,0.0177797014724669
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0357934850474735,0.0525235455057952
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","Not STEM","Higher Education","Creative arts & design",0.0342648610243934,0.0440951336702026
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0828901758994122,0.0287368954584715
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Further Education","Engineering and Manufacturing Technologies",0.049518806381467,0.0257306735488676
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Further Education","Information and Communication Technology (ICT)",0.0226064116089306,0.0223688770047944
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM","Higher Education","Biological sciences",0.0653755893814455,0.0398495725346394
