"year","area","geographic_level","22  all ","25  economically active ","Employment","31  employees ","34  self employed ","37  unemployed ","40  inactive ","empRate","Year"
"2020","Greater Cambridge and Greater Peterborough","LEP",531300,423300,405600,356100,49300,17600,108000,0.763410502540937,20
"2020","Greater Lincolnshire","LEP",658400,502100,472800,405000,66700,29200,156400,0.718104495747266,20
"2020","Hull and East Yorkshire","LEP",360400,280600,267300,232500,34000,13300,79800,0.741675915649279,20
"2020","Leeds City Region","LEP",1451400,1139800,1086500,960000,125000,53300,311600,0.748587570621469,20
"2021","England","COUNTRY",34797400,27394600,26134100,22751400,3307500,1260500,7402800,0.7510359969423,21
"2021","Black Country","LEP",731200,569400,536700,477700,58700,32700,161800,0.733998905908096,21
"2021","Cheshire and Warrington","LEP",553900,430900,418000,367500,48600,12900,123100,0.754648853583679,21
"2021","Cornwall and Isles of Scilly","LEP",324600,250100,239900,195700,44100,10200,74500,0.739063462723352,21
"2021","Coventry and Warwickshire","LEP",589700,468200,449700,405000,44400,18500,121500,0.762591148041377,21
"2021","Cumbria","LEP",284100,221800,215200,187000,27900,6600,62300,0.757479760647659,21
"2021","Dorset","LEP",443600,355400,337900,284100,53000,17500,88200,0.761722272317403,21
"2021","Gloucestershire","LEP",378100,307600,296300,257900,37300,11300,70500,0.783655117693732,21
"2021","Greater Birmingham and Solihull","LEP",1271500,948800,880200,789000,88200,68600,322700,0.692253244199764,21
"2021","Greater Manchester","LEP",1785100,1347200,1278100,1122100,150300,69100,437800,0.715982297910481,21
"2021","Heart of the South West","LEP",1011800,790600,769000,645000,124000,21600,221200,0.760031626803716,21
"2021","Lancashire","LEP",887800,678700,642000,571900,68600,36700,209100,0.723135841405722,21
"2021","Leicester and Leicestershire","LEP",654000,509700,479100,427100,50200,30600,144400,0.73256880733945,21
"2021","Liverpool City Region","LEP",957900,738900,704700,637200,66300,34200,219100,0.735671782023176,21
"2021","North East","LEP",1214100,907900,854900,763100,88900,52900,306300,0.704142986574417,21
"2021","Stoke-on-Trent and Staffordshire","LEP",678100,543100,523200,457900,62700,19900,135000,0.771567615395959,21
"2021","Swindon and Wiltshire","LEP",430600,353600,341400,301400,37900,12200,77100,0.792847189967487,21
"2021","Tees Valley","LEP",404800,301500,281000,249500,31200,20500,103300,0.694169960474308,21
"2021","Thames Valley Berkshire","LEP",570800,470200,448800,388300,58800,21400,100600,0.786264891380519,21
"2021","The Marches","LEP",400300,311800,301700,250700,49600,10000,88500,0.753684736447664,21
"2021","West of England","LEP",741000,606700,590400,527000,61900,16300,134300,0.796761133603239,21
"2021","Worcestershire","LEP",345700,281600,273000,240700,32300,8600,64100,0.789702053803876,21
"2021","Buckinghamshire","LEP",327600,264600,254300,213400,39500,10400,63000,0.776251526251526,21
"2021","Coast to Capital","LEP",952200,786000,758400,649200,107200,27600,166300,0.796471329552615,21
"2021","Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",1362700,1049200,1006000,895600,107400,43100,313500,0.738240258310707,21
"2021","Enterprise M3","LEP",927800,767800,742200,653800,84600,25600,160000,0.799956887260185,21
"2021","Hertfordshire","LEP",746900,619200,592200,506900,82400,27000,127800,0.792877225866917,21
"2021","London","LEP",6117700,4854700,4575600,3877800,682700,279100,1263000,0.747928142929532,21
"2021","New Anglia","LEP",959200,771900,743000,638700,102000,29000,187300,0.774603836530442,21
"2021","Oxfordshire","LEP",418200,331500,322100,282200,39600,9400,86700,0.770205643232903,21
"2021","Sheffield City Region","LEP",878700,673300,636500,571100,63200,36900,205400,0.724365540002276,21
"2021","Solent","LEP",762900,601200,572600,507500,63700,28600,161700,0.75055708480797,21
"2021","South East","LEP",2561900,2048500,1965300,1667200,290100,83200,513400,0.767125961200671,21
"2021","South East Midlands","LEP",1062100,848000,815100,712500,101700,32900,214100,0.767441860465116,21
"2021","York and North Yorkshire","LEP",481200,390700,381100,326200,53800,9600,90500,0.791978387364921,21
"2021","Greater Cambridge and Greater Peterborough","LEP",524200,425300,410400,371300,39100,14900,98900,0.782907287294926,21
"2021","Greater Lincolnshire","LEP",654600,496900,480000,419800,58500,16900,157800,0.73327222731439,21
"2021","Hull and East Yorkshire","LEP",359500,279800,267500,241900,25600,12300,79700,0.744089012517385,21
"2021","Leeds City Region","LEP",1446500,1112400,1057000,940700,115000,55400,334200,0.730729346698928,21
"2017","Brighton and Hove, East Sussex, West Sussex","LSIP",1015900,818100,787700,646600,137900,27600,197800,0.775371591692096,17
"2017","Buckinghamshire ","LSIP",322500,268600,263400,210400,51500,5200,53900,0.816744186046512,17
"2017","Cambridgeshire and Peterborough","LSIP",525400,420100,408300,353300,54700,10700,105500,0.77712219261515,17
"2017","Cheshire and Warrington","LSIP",560300,437900,422700,362300,59900,15300,122400,0.75441727645904,17
"2017","Cornwall and the Isles of Scilly","LSIP",327000,257800,250200,191200,57600,7500,69200,0.765137614678899,17
"2017","Cumbria","LSIP",294100,237200,229300,198600,29700,7900,56600,0.7796667800068,17
"2017","Derbyshire and Nottinghamshire","LSIP",1369500,1044500,1000800,871900,122200,40600,325100,0.730777656078861,17
"2017","Dorset","LSIP",891700,738100,720700,630200,87400,14700,153400,0.808231467982505,17
"2017","Enterprise M3 LEP (including all of Surrey)","LSIP",720800,583200,568400,478000,86900,12400,137700,0.788568257491676,17
"2017","Essex, Southend-on-Sea and Thurrock","LSIP",1106700,894900,858000,725300,130900,33800,211800,0.775277853076715,17
"2017","Gloucestershire","LSIP",378400,313300,304200,260800,42700,7800,65200,0.803911205073996,17
"2017","Greater Lincolnshire","LSIP",664300,518800,494200,428600,63900,22900,145900,0.743940990516333,17
"2017","Greater London","LSIP",5937200,4638700,4388200,3560700,806100,250600,1298200,0.739102607289632,17
"2017","Greater Manchester","LSIP",1778100,1347800,1280200,1112900,161100,67800,430000,0.719982003261909,17
"2017","Heart of the South-West","LSIP",1014200,816900,790700,652900,132200,23700,197000,0.779629264444883,17
"2017","Hertfordshire","LSIP",735300,602300,583900,492500,89500,14900,133200,0.794097647218822,17
"2017","Hull and East Yorkshire","LSIP",363700,284200,269100,236900,31600,15100,79400,0.7398955182843,17
"2017","Kent and Medway","LSIP",1109200,888200,855600,714600,138200,29100,220900,0.771366750811396,17
"2017","Lancashire","LSIP",904800,709000,679900,597600,80100,27700,195800,0.751436781609195,17
"2017","Leicester and Leicestershire","LSIP",658400,508100,483900,427800,53200,22400,150400,0.73496354799514,17
"2017","Liverpool City Region","LSIP",970100,714000,678100,594400,82000,35800,256300,0.699000103082156,17
"2017","Norfolk and Suffolk ","LSIP",964200,769200,736200,627200,105100,31200,194800,0.763534536403236,17
"2017","North East","LSIP",718400,547500,512000,460300,51100,35500,171000,0.712694877505568,17
"2017","North of Tyne","LSIP",515200,389300,367200,317100,49100,22100,125800,0.712732919254658,17
"2017","Oxfordshire","LSIP",422600,358000,343700,295900,47800,13500,64900,0.813298627543777,17
"2017","Solent","LSIP",768600,610000,589200,510900,75600,20000,158400,0.766588602654176,17
"2017","South East Midlands","LSIP",1039800,846500,806300,703700,100800,40200,193400,0.775437584150798,17
"2017","South Yorkshire","LSIP",878200,670700,629900,554100,71900,40700,207600,0.717262582555227,17
"2017","Stoke-on-Trent and Staffordshire","LSIP",688700,557100,532100,468400,62900,24100,131600,0.772615071874546,17
"2017","Swindon and Wiltshire","LSIP",430700,365200,350200,302000,48100,15000,65400,0.813094961690272,17
"2017","Tees Valley","LSIP",412400,303900,283000,253800,27700,20800,108500,0.686226964112512,17
"2017","Thames Valley Berkshire","LSIP",568500,466800,453400,387800,64100,13500,101700,0.797537379067722,17
"2017","The Marches","LSIP",406200,324800,311700,255600,54900,13100,81300,0.767355982274742,17
"2017","West Midlands and Warwickshire","LSIP",2161100,1594800,1495700,1296200,191900,98000,566300,0.692101244736477,17
"2017","West of England and North Somerset","LSIP",728100,595500,572400,492900,77800,23100,132700,0.786155747836836,17
"2017","West Yorkshire","LSIP",1448900,1114500,1060600,917100,141600,53900,334500,0.732003588929533,17
"2017","Worcestershire","LSIP",350800,280300,269700,229000,40400,9900,70400,0.768814139110604,17
"2017","York and North Yorkshire","LSIP",490500,393200,378000,318000,57600,12300,97200,0.770642201834862,17
"2018","Brighton and Hove, East Sussex, West Sussex","LSIP",1022400,809900,777900,632700,142000,26300,212200,0.760856807511737,18
"2018","Buckinghamshire ","LSIP",322100,265500,259300,211800,47100,6200,56600,0.80502949394598,18
"2018","Cambridgeshire and Peterborough","LSIP",525400,431700,416400,364800,51500,14000,93800,0.792539017891131,18
"2018","Cheshire and Warrington","LSIP",559200,444400,429300,372100,55600,15100,114800,0.767703862660944,18
"2018","Cornwall and the Isles of Scilly","LSIP",327600,252000,245300,190500,52900,6700,75600,0.748778998778999,18
"2018","Cumbria","LSIP",291500,235900,231000,198500,32400,3100,55600,0.792452830188679,18
"2018","Derbyshire and Nottinghamshire","LSIP",1366300,1053600,1005600,876400,125400,46700,312500,0.736002342091781,18
"2018","Dorset","LSIP",891000,740900,721300,612200,106100,19300,150000,0.809539842873176,18
"2018","Enterprise M3 LEP (including all of Surrey)","LSIP",722200,584100,569200,466800,100600,12200,138100,0.78814732761008,18
"2018","Essex, Southend-on-Sea and Thurrock","LSIP",1110200,896700,867400,723300,141600,28600,213700,0.781300666546568,18
"2018","Gloucestershire","LSIP",378200,316500,310100,257800,51600,5700,61300,0.819936541512427,18
"2018","Greater Lincolnshire","LSIP",662800,521900,494200,430100,61500,26500,141000,0.745624622812311,18
"2018","Greater London","LSIP",6023500,4713200,4474900,3650600,803300,238100,1309300,0.742906947787831,18
"2018","Greater Manchester","LSIP",1781000,1360300,1297300,1118700,174300,63000,420900,0.728411005053341,18
"2018","Heart of the South-West","LSIP",1009100,823200,793900,660900,131300,26900,185900,0.786740659994054,18
"2018","Hertfordshire","LSIP",741400,602400,581500,489800,90300,17600,139000,0.784326949015376,18
"2018","Hull and East Yorkshire","LSIP",362100,286100,272300,236000,35400,13800,76000,0.752002209334438,18
"2018","Kent and Medway","LSIP",1113900,886200,846500,713900,126200,38700,227600,0.759942544214023,18
"2018","Lancashire","LSIP",899100,701900,668000,583400,83600,31200,197100,0.742965187409632,18
"2018","Leicester and Leicestershire","LSIP",654400,505600,480500,431600,46300,23000,148800,0.734260391198044,18
"2018","Liverpool City Region","LSIP",967600,718700,693500,619900,72400,25400,248700,0.716721785861926,18
"2018","Norfolk and Suffolk ","LSIP",961400,768100,738700,628700,108100,29300,193300,0.768358643644685,18
"2018","North East","LSIP",718500,551300,523100,464800,56200,28400,167200,0.728044537230341,18
"2018","North of Tyne","LSIP",512200,381400,364000,310800,51700,17400,130700,0.710659898477157,18
"2018","Oxfordshire","LSIP",424400,352600,345000,298100,46000,4600,71800,0.812912346842601,18
"2018","Solent","LSIP",769000,608700,581200,509300,70100,25300,160300,0.755786736020806,18
"2018","South East Midlands","LSIP",1048200,846300,812800,712800,98800,33600,201700,0.775424537302042,18
"2018","South Yorkshire","LSIP",879400,677000,639100,569900,66700,38000,202300,0.726745508301114,18
"2018","Stoke-on-Trent and Staffordshire","LSIP",684300,545000,523200,456800,65700,19000,139500,0.764576939938623,18
"2018","Swindon and Wiltshire","LSIP",429400,353800,341400,297900,42700,12500,75500,0.795062878435026,18
"2018","Tees Valley","LSIP",410600,302300,280700,250700,28800,21600,108300,0.68363370677058,18
"2018","Thames Valley Berkshire","LSIP",569700,469200,454900,393300,60200,14400,100600,0.798490433561524,18
"2018","The Marches","LSIP",401800,328900,318900,265200,52600,10100,72700,0.793678446988552,18
"2018","West Midlands and Warwickshire","LSIP",2168200,1615700,1522900,1339200,180000,91200,552300,0.702379854256987,18
"2018","West of England and North Somerset","LSIP",733900,600900,580400,505400,73700,20500,133000,0.790843439160649,18
"2018","West Yorkshire","LSIP",1450700,1095100,1048300,911100,132600,46800,355600,0.722616667815537,18
"2018","Worcestershire","LSIP",347400,285500,276200,234600,40300,8000,62100,0.795048934945308,18
"2018","York and North Yorkshire","LSIP",488100,394700,383800,314400,68400,8700,93200,0.786314279860684,18
"2019","Brighton and Hove, East Sussex, West Sussex","LSIP",1027400,841300,814600,663700,146100,25600,186100,0.792875218999416,19
"2019","Buckinghamshire ","LSIP",326700,269000,259100,213400,43700,9900,57700,0.793082338536884,19
"2019","Cambridgeshire and Peterborough","LSIP",525900,427500,413100,363300,49800,12500,98400,0.785510553337136,19
"2019","Cheshire and Warrington","LSIP",558400,459000,442900,383200,59000,16100,99400,0.793159025787966,19
"2019","Cornwall and the Isles of Scilly","LSIP",327000,261600,252900,199900,51900,8600,65400,0.773394495412844,19
"2019","Cumbria","LSIP",289300,233300,227400,190700,36000,5800,55900,0.786035257518147,19
"2019","Derbyshire and Nottinghamshire","LSIP",1365300,1077100,1032500,896800,132800,40300,288500,0.756244048926976,19
"2019","Dorset","LSIP",889700,728600,710500,607400,102400,16700,161200,0.798583792289536,19
"2019","Enterprise M3 LEP (including all of Surrey)","LSIP",724600,606300,592800,479500,111700,9500,118300,0.81810654154016,19
