location,location_code,geographic_level,time_period,data_type,institution_group,level_methodology,cohort_level_group,characteristic,all_unknown,all_notsust,cohort,appren,education,all_work
Redcar and Cleveland,E06000003,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,29,127,951,105,561,129
Redcar and Cleveland,E06000003,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,6,39,105,23,11,26
Redcar and Cleveland,E06000003,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,5,11,62,26,10,10
Redcar and Cleveland,E06000003,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,18,77,784,56,540,93
South Tyneside,E08000023,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,57,186,1102,195,496,168
South Tyneside,E08000023,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,24,89,262,78,40,31
South Tyneside,E08000023,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,10,39,147,26,39,33
South Tyneside,E08000023,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,23,58,693,91,417,104
South Tyneside,E08000023,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,71,264,1605,305,709,256
South Tyneside,E08000023,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,31,93,346,80,94,48
South Tyneside,E08000023,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,18,91,376,79,119,69
South Tyneside,E08000023,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,22,80,883,146,496,139
South Tyneside,E08000023,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,39,225,1279,241,541,233
South Tyneside,E08000023,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,12,104,232,47,31,38
South Tyneside,E08000023,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,11,55,230,74,30,60
South Tyneside,E08000023,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,16,66,817,120,480,135
Stockton-on-Tees,E06000004,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,81,182,1025,116,481,165
Stockton-on-Tees,E06000004,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,43,109,250,40,21,37
Stockton-on-Tees,E06000004,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,7,26,96,22,16,25
Stockton-on-Tees,E06000004,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,31,47,679,54,444,103
Stockton-on-Tees,E06000004,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,59,225,1088,107,486,211
Stockton-on-Tees,E06000004,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,32,113,243,24,22,52
Stockton-on-Tees,E06000004,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,8,59,213,27,64,55
Stockton-on-Tees,E06000004,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,19,53,632,56,400,104
Stockton-on-Tees,E06000004,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,41,219,1018,81,512,165
Stockton-on-Tees,E06000004,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,20,107,232,30,35,40
Stockton-on-Tees,E06000004,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,3,42,105,10,36,14
Stockton-on-Tees,E06000004,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,18,70,681,41,441,111
Sunderland,E08000024,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,96,307,1987,366,822,396
Sunderland,E08000024,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,40,113,387,149,17,68
Sunderland,E08000024,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,16,76,264,56,27,89
Sunderland,E08000024,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,40,118,1336,161,778,239
Sunderland,E08000024,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,87,463,2492,355,1069,518
Sunderland,E08000024,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,35,130,394,124,31,74
Sunderland,E08000024,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,22,188,613,83,128,192
Sunderland,E08000024,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,30,145,1485,148,910,252
Sunderland,E08000024,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,97,482,2587,324,1210,474
Sunderland,E08000024,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,44,145,375,85,36,65
Sunderland,E08000024,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,17,134,396,93,55,97
Sunderland,E08000024,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,36,203,1816,146,1119,312
Blackburn with Darwen,E06000008,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,115,287,2150,221,1172,355
Blackburn with Darwen,E06000008,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,45,125,425,71,117,67
Blackburn with Darwen,E06000008,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,17,45,316,46,130,78
Blackburn with Darwen,E06000008,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,53,117,1409,104,925,210
Blackburn with Darwen,E06000008,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,107,300,2092,185,1130,370
Blackburn with Darwen,E06000008,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,58,109,387,38,117,65
Blackburn with Darwen,E06000008,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,19,92,514,67,216,120
Blackburn with Darwen,E06000008,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,30,99,1191,80,797,185
Blackburn with Darwen,E06000008,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,112,327,1894,177,914,364
Blackburn with Darwen,E06000008,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,49,131,366,54,56,76
Blackburn with Darwen,E06000008,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,16,68,282,52,68,78
Blackburn with Darwen,E06000008,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,47,128,1246,71,790,210
Blackpool,E06000009,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,114,390,2161,186,948,523
Blackpool,E06000009,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,36,124,310,55,50,45
Blackpool,E06000009,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,30,86,300,29,53,102
Blackpool,E06000009,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,48,180,1551,102,845,376
Blackpool,E06000009,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,99,397,2186,224,882,584
Blackpool,E06000009,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,31,117,305,49,41,67
Blackpool,E06000009,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,29,134,470,64,99,144
Blackpool,E06000009,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,39,146,1411,111,742,373
Blackpool,E06000009,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,111,431,2204,192,882,588
Blackpool,E06000009,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,47,157,394,62,43,85
Blackpool,E06000009,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,21,120,337,49,42,105
Blackpool,E06000009,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,43,154,1473,81,797,398
Bolton,E08000001,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,169,407,2465,266,1096,527
Bolton,E08000001,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,53,165,498,61,108,111
Bolton,E08000001,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,30,91,376,69,81,105
Bolton,E08000001,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,86,151,1591,136,907,311
Bolton,E08000001,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,168,384,2490,208,1234,496
Bolton,E08000001,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,77,158,511,58,129,89
Bolton,E08000001,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,33,112,617,58,258,156
Bolton,E08000001,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,58,114,1362,92,847,251
Bolton,E08000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,133,402,2446,205,1208,498
Bolton,E08000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,63,163,527,52,143,106
Bolton,E08000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,17,85,368,51,116,99
Bolton,E08000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,53,154,1551,102,949,293
Bury,E08000002,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,167,356,2931,309,1322,777
Bury,E08000002,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,40,99,321,63,35,84
Bury,E08000002,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,32,86,450,65,98,169
Bury,E08000002,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,95,171,2160,181,1189,524
Bury,E08000002,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,160,440,3082,322,1389,771
Bury,E08000002,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,44,144,394,65,52,89
Bury,E08000002,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,40,133,671,98,187,213
Bury,E08000002,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,76,163,2017,159,1150,469
Bury,E08000002,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,154,449,2896,260,1329,704
Bury,E08000002,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,50,120,358,45,51,92
Bury,E08000002,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,25,97,388,58,87,121
Bury,E08000002,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,79,232,2150,157,1191,491
Cheshire East,E06000049,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,211,435,4181,496,1850,1189
