"soc_4_digit_code","occupation_label_4_digit","high_semantic_mismatch","high_prop_mismatch","high_lightcast_mismatch","all_issues","any_issues","sum","remove"
5242,"Telecoms and related network installers and repairers",0,0,0,FALSE,FALSE,0,0
5243,"TV, video and audio servicers and repairers",0,0,0,FALSE,FALSE,0,0
5244,"Computer system and equipment installers and servicers",0,0,0,FALSE,FALSE,0,0
5245,"Security system installers and repairers",0,0,0,FALSE,FALSE,0,0
5246,"Electrical service and maintenance mechanics and repairers",0,0,0,FALSE,FALSE,0,0
5249,"Electrical and electronic trades n.e.c.",0,1,0,FALSE,TRUE,1,0
5250,"Skilled metal, electrical and electronic trades supervisors",0,0,0,FALSE,FALSE,0,0
5311,"Steel erectors",0,0,0,FALSE,FALSE,0,0
5312,"Stonemasons and related trades",0,0,0,FALSE,FALSE,0,0
5313,"Bricklayers",0,0,0,FALSE,FALSE,0,0
5314,"Roofers, roof tilers and slaters",0,0,0,FALSE,FALSE,0,0
5315,"Plumbers and heating and ventilating installers and repairers",0,0,0,FALSE,FALSE,0,0
5316,"Carpenters and joiners",0,0,0,FALSE,FALSE,0,0
5317,"Glaziers, window fabricators and fitters",0,0,0,FALSE,FALSE,0,0
5319,"Construction and building trades n.e.c.",0,0,0,FALSE,FALSE,0,0
5321,"Plasterers",0,0,0,FALSE,FALSE,0,0
5322,"Floorers and wall tilers",0,0,0,FALSE,FALSE,0,0
5323,"Painters and decorators",0,0,0,FALSE,FALSE,0,0
5330,"Construction and building trades supervisors",0,0,0,FALSE,FALSE,0,0
5411,"Upholsterers",0,0,0,FALSE,FALSE,0,0
5412,"Footwear and leather working trades",0,0,0,FALSE,FALSE,0,0
5413,"Tailors and dressmakers",1,0,0,FALSE,TRUE,1,1
5419,"Textiles, garments and related trades n.e.c.",1,0,0,FALSE,TRUE,1,1
5421,"Pre-press technicians",1,0,0,FALSE,TRUE,1,1
5422,"Printers",0,0,0,FALSE,FALSE,0,0
5423,"Print finishing and binding workers",0,0,0,FALSE,FALSE,0,0
5431,"Butchers",0,0,0,FALSE,FALSE,0,0
5432,"Bakers and flour confectioners",0,0,0,FALSE,FALSE,0,0
5433,"Fishmongers and poultry dressers",0,0,0,FALSE,FALSE,0,0
5434,"Chefs",0,0,0,FALSE,FALSE,0,0
5435,"Cooks",0,0,0,FALSE,FALSE,0,0
5436,"Catering and bar managers",0,0,0,FALSE,FALSE,0,0
5441,"Glass and ceramics makers, decorators and finishers",1,0,0,FALSE,TRUE,1,1
5442,"Furniture makers and other craft woodworkers",0,0,0,FALSE,FALSE,0,0
5443,"Florists",0,0,0,FALSE,FALSE,0,0
5449,"Other skilled trades n.e.c.",0,0,0,FALSE,FALSE,0,0
6111,"Early education and childcare assistants",0,0,0,FALSE,FALSE,0,0
6112,"Teaching assistants",0,0,0,FALSE,FALSE,0,0
6113,"Educational support assistants",0,0,0,FALSE,FALSE,0,0
6114,"Childminders",0,1,0,FALSE,TRUE,1,0
6116,"Nannies and au pairs",0,0,0,FALSE,FALSE,0,0
6117,"Playworkers",0,0,0,FALSE,FALSE,0,0
6121,"Pest control officers",0,0,0,FALSE,FALSE,0,0
6129,"Animal care services occupations n.e.c.",0,0,0,FALSE,FALSE,0,0
6131,"Nursing auxiliaries and assistants",0,0,0,FALSE,FALSE,0,0
6132,"Ambulance staff (excluding paramedics)",0,0,0,FALSE,FALSE,0,0
6133,"Dental nurses",0,0,0,FALSE,FALSE,0,0
6134,"Houseparents and residential wardens",0,0,0,FALSE,FALSE,0,0
6135,"Care workers and home carers",0,0,0,FALSE,FALSE,0,0
6136,"Senior care workers",0,0,0,FALSE,FALSE,0,0
6137,"Care escorts",0,0,1,FALSE,TRUE,1,0
6138,"Undertakers, mortuary and crematorium assistants",0,0,0,FALSE,FALSE,0,0
6211,"Sports and leisure assistants",0,0,0,FALSE,FALSE,0,0
6212,"Travel agents",0,0,0,FALSE,FALSE,0,0
6213,"Air travel assistants",0,0,1,FALSE,TRUE,1,0
6214,"Rail travel assistants",0,0,1,FALSE,TRUE,1,0
6219,"Leisure and travel service occupations n.e.c.",0,0,0,FALSE,FALSE,0,0
6221,"Hairdressers and barbers",0,0,0,FALSE,FALSE,0,0
6222,"Beauticians and related occupations",0,0,0,FALSE,FALSE,0,0
6231,"Housekeepers and related occupations",0,0,0,FALSE,FALSE,0,0
6232,"Caretakers",0,0,0,FALSE,FALSE,0,0
6240,"Cleaning and housekeeping managers and supervisors",0,0,0,FALSE,FALSE,0,0
6250,"Bed and breakfast and guest house owners and proprietors",0,1,1,FALSE,TRUE,2,1
6311,"Police community support officers",0,1,0,FALSE,TRUE,1,0
6312,"Parking and civil enforcement occupations",0,0,0,FALSE,FALSE,0,0
7111,"Sales and retail assistants",0,0,0,FALSE,FALSE,0,0
7112,"Retail cashiers and check-out operators",0,1,0,FALSE,TRUE,1,0
7113,"Telephone salespersons",0,0,0,FALSE,FALSE,0,0
7114,"Pharmacy and optical dispensing assistants",0,0,1,FALSE,TRUE,1,0
7115,"Vehicle and parts salespersons and advisers",0,0,0,FALSE,FALSE,0,0
7121,"Collector salespersons and credit agents",0,1,0,FALSE,TRUE,1,0
7122,"Debt, rent and other cash collectors",0,0,0,FALSE,FALSE,0,0
7123,"Roundspersons and van salespersons",0,0,0,FALSE,FALSE,0,0
7124,"Market and street traders and assistants",0,0,0,FALSE,FALSE,0,0
7125,"Visual merchandisers and related occupations",0,0,0,FALSE,FALSE,0,0
7129,"Sales related occupations n.e.c.",0,0,1,FALSE,TRUE,1,0
7131,"Shopkeepers and owners - retail and wholesale",0,0,0,FALSE,FALSE,0,0
7132,"Sales supervisors - retail and wholesale",0,0,0,FALSE,FALSE,0,0
7211,"Call and contact centre occupations",0,0,0,FALSE,FALSE,0,0
7212,"Telephonists",0,0,0,FALSE,FALSE,0,0
7213,"Communication operators",0,0,0,FALSE,FALSE,0,0
7214,"Market research interviewers",0,0,0,FALSE,FALSE,0,0
7219,"Customer service occupations n.e.c.",0,0,0,FALSE,FALSE,0,0
7220,"Customer service supervisors",0,0,0,FALSE,FALSE,0,0
8111,"Food, drink and tobacco process operatives",0,0,1,FALSE,TRUE,1,0
8112,"Textile process operatives",1,1,0,FALSE,TRUE,2,1
8113,"Chemical and related process operatives",0,0,0,FALSE,FALSE,0,0
8114,"Plastics process operatives",0,0,0,FALSE,FALSE,0,0
8115,"Metal making and treating process operatives",1,1,0,FALSE,TRUE,2,1
8119,"Process operatives n.e.c.",0,0,1,FALSE,TRUE,1,0
8120,"Metal working machine operatives",1,0,0,FALSE,TRUE,1,1
8131,"Paper and wood machine operatives",0,0,0,FALSE,FALSE,0,0
8132,"Mining and quarry workers and related operatives",1,1,1,TRUE,TRUE,3,1
8133,"Energy plant operatives",1,0,0,FALSE,TRUE,1,1
8134,"Water and sewerage plant operatives",0,0,0,FALSE,FALSE,0,0
8135,"Printing machine assistants",0,0,1,FALSE,TRUE,1,0
8139,"Plant and machine operatives n.e.c.",0,0,0,FALSE,FALSE,0,0
8141,"Assemblers (electrical and electronic products)",0,0,0,FALSE,FALSE,0,0
8142,"Assemblers (vehicles and metal goods)",0,0,0,FALSE,FALSE,0,0
8143,"Routine inspectors and testers",0,0,1,FALSE,TRUE,1,0
8144,"Weighers, graders and sorters",0,0,0,FALSE,FALSE,0,0
8145,"Tyre, exhaust and windscreen fitters",0,0,0,FALSE,FALSE,0,0
8146,"Sewing machinists",0,0,0,FALSE,FALSE,0,0
8149,"Assemblers and routine operatives n.e.c.",0,0,0,FALSE,FALSE,0,0
8151,"Scaffolders, stagers and riggers",0,0,0,FALSE,FALSE,0,0
8152,"Road construction operatives",0,0,0,FALSE,FALSE,0,0
8153,"Rail construction and maintenance operatives",0,0,0,FALSE,FALSE,0,0
8159,"Construction operatives n.e.c.",0,0,0,FALSE,FALSE,0,0
8160,"Production, factory and assembly supervisors",1,0,0,FALSE,TRUE,1,1
8211,"Heavy and large goods vehicle drivers",0,0,0,FALSE,FALSE,0,0
8212,"Bus and coach drivers",0,0,0,FALSE,FALSE,0,0
8213,"Taxi and cab drivers and chauffeurs",1,1,0,FALSE,TRUE,2,1
8214,"Delivery drivers and couriers",0,0,0,FALSE,FALSE,0,0
8215,"Driving instructors",0,0,0,FALSE,FALSE,0,0
8219,"Road transport drivers n.e.c.",0,0,0,FALSE,FALSE,0,0
8221,"Crane drivers",1,1,1,TRUE,TRUE,3,1
8222,"Fork-lift truck drivers",0,0,0,FALSE,FALSE,0,0
8229,"Mobile machine drivers and operatives n.e.c.",0,0,0,FALSE,FALSE,0,0
8231,"Train and tram drivers",1,1,0,FALSE,TRUE,2,1
8232,"Marine and waterways transport operatives",1,0,1,FALSE,TRUE,2,1
8233,"Air transport operatives",0,0,0,FALSE,FALSE,0,0
8234,"Rail transport operatives",0,0,0,FALSE,FALSE,0,0
8239,"Other drivers and transport operatives n.e.c.",0,0,0,FALSE,FALSE,0,0
9111,"Farm workers",1,0,0,FALSE,TRUE,1,1
9112,"Forestry and related workers",1,0,0,FALSE,TRUE,1,1
9119,"Fishing and other elementary agriculture occupations n.e.c.",0,0,0,FALSE,FALSE,0,0
9121,"Groundworkers",0,1,1,FALSE,TRUE,2,1
9129,"Elementary construction occupations n.e.c.",1,0,0,FALSE,TRUE,1,1
9131,"Industrial cleaning process occupations",0,0,1,FALSE,TRUE,1,0
9132,"Packers, bottlers, canners and fillers",0,0,0,FALSE,FALSE,0,0
