"time_period","area","geographic_level","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
201718,"Bolton","LADU","1591","Level 3","86","151","136","907","311"
201819,"Bolton","LADU","2490","Total","168","384","208","1234","496"
201819,"Bolton","LADU","511","All other qualifications","77","158","58","129","89"
201819,"Bolton","LADU","617","Level 2","33","112","58","258","156"
201819,"Bolton","LADU","1362","Level 3","58","114","92","847","251"
201920,"Bolton","LADU","2446","Total","133","402","205","1208","498"
201920,"Bolton","LADU","527","All other qualifications","63","163","52","143","106"
201920,"Bolton","LADU","368","Level 2","17","85","51","116","99"
201920,"Bolton","LADU","1551","Level 3","53","154","102","949","293"
201718,"Bury","LADU","2931","Total","167","356","309","1322","777"
201718,"Bury","LADU","321","All other qualifications","40","99","63","35","84"
201718,"Bury","LADU","450","Level 2","32","86","65","98","169"
201718,"Bury","LADU","2160","Level 3","95","171","181","1189","524"
201819,"Bury","LADU","3082","Total","160","440","322","1389","771"
201819,"Bury","LADU","394","All other qualifications","44","144","65","52","89"
201819,"Bury","LADU","671","Level 2","40","133","98","187","213"
201819,"Bury","LADU","2017","Level 3","76","163","159","1150","469"
201920,"Bury","LADU","2896","Total","154","449","260","1329","704"
201920,"Bury","LADU","358","All other qualifications","50","120","45","51","92"
201920,"Bury","LADU","388","Level 2","25","97","58","87","121"
201920,"Bury","LADU","2150","Level 3","79","232","157","1191","491"
201718,"Cheshire East","LADU","4181","Total","211","435","496","1850","1189"
201718,"Cheshire East","LADU","482","All other qualifications","42","113","81","110","136"
201718,"Cheshire East","LADU","594","Level 2","46","86","116","132","214"
201718,"Cheshire East","LADU","3105","Level 3","123","236","299","1608","839"
201819,"Cheshire East","LADU","5017","Total","234","572","573","2219","1419"
201819,"Cheshire East","LADU","556","All other qualifications","56","145","90","102","163"
201819,"Cheshire East","LADU","1198","Level 2","71","198","167","339","423"
201819,"Cheshire East","LADU","3263","Level 3","107","229","316","1778","833"
201920,"Cheshire East","LADU","4843","Total","243","594","486","2109","1411"
201920,"Cheshire East","LADU","658","All other qualifications","56","177","109","129","187"
201920,"Cheshire East","LADU","827","Level 2","53","158","111","206","299"
201920,"Cheshire East","LADU","3358","Level 3","134","259","266","1774","925"
201718,"Cheshire West and Chester","LADU","3628","Total","150","364","324","1843","947"
201718,"Cheshire West and Chester","LADU","395","All other qualifications","50","122","70","43","110"
201718,"Cheshire West and Chester","LADU","408","Level 2","24","58","70","106","150"
201718,"Cheshire West and Chester","LADU","2825","Level 3","76","184","184","1694","687"
201819,"Cheshire West and Chester","LADU","2397","Total","85","221","233","1297","561"
201819,"Cheshire West and Chester","LADU","210","All other qualifications","24","64","51","8","63"
201819,"Cheshire West and Chester","LADU","129","Level 2","10","24","28","12","55"
201819,"Cheshire West and Chester","LADU","2058","Level 3","51","133","154","1277","443"
201920,"Cheshire West and Chester","LADU","2285","Total","80","184","196","1278","547"
201920,"Cheshire West and Chester","LADU","170","All other qualifications","19","53","37","7","54"
201920,"Cheshire West and Chester","LADU","92","Level 2","6","18","24","6","38"
201920,"Cheshire West and Chester","LADU","2023","Level 3","55","113","135","1265","455"
201718,"Cumbria","LADU","4509","Total","217","483","853","1807","1149"
201718,"Cumbria","LADU","558","All other qualifications","56","140","116","61","185"
201718,"Cumbria","LADU","898","Level 2","51","150","279","150","268"
201718,"Cumbria","LADU","3053","Level 3","110","193","458","1596","696"
201819,"Cumbria","LADU","3981","Total","159","467","741","1581","1033"
201819,"Cumbria","LADU","534","All other qualifications","48","161","125","49","151"
201819,"Cumbria","LADU","891","Level 2","34","131","254","176","296"
201819,"Cumbria","LADU","2556","Level 3","77","175","362","1356","586"
201920,"Cumbria","LADU","3863","Total","173","471","734","1585","900"
201920,"Cumbria","LADU","555","All other qualifications","38","154","151","73","139"
201920,"Cumbria","LADU","666","Level 2","34","106","208","129","189"
201920,"Cumbria","LADU","2642","Level 3","101","211","375","1383","572"
201718,"Halton","LADU","1890","Total","94","252","181","838","525"
201718,"Halton","LADU","325","All other qualifications","35","96","44","76","74"
201718,"Halton","LADU","482","Level 2","21","67","66","201","127"
201718,"Halton","LADU","1083","Level 3","38","89","71","561","324"
201819,"Halton","LADU","1508","Total","74","239","150","638","407"
201819,"Halton","LADU","245","All other qualifications","32","86","42","27","58"
201819,"Halton","LADU","431","Level 2","23","80","44","152","132"
201819,"Halton","LADU","832","Level 3","19","73","64","459","217"
201920,"Halton","LADU","1840","Total","83","342","177","763","475"
201920,"Halton","LADU","371","All other qualifications","40","143","38","65","85"
201920,"Halton","LADU","468","Level 2","18","88","56","171","135"
201920,"Halton","LADU","1001","Level 3","25","111","83","527","255"
201718,"Knowsley","LADU","487","Total","39","129","59","123","137"
201718,"Knowsley","LADU","111","All other qualifications","14","51","13","13","20"
201718,"Knowsley","LADU","152","Level 2","6","39","31","25","51"
201718,"Knowsley","LADU","224","Level 3","19","39","15","85","66"
201819,"Knowsley","LADU","486","Total","36","121","61","147","121"
201819,"Knowsley","LADU","126","All other qualifications","13","51","18","12","32"
201819,"Knowsley","LADU","233","Level 2","17","53","30","78","55"
201819,"Knowsley","LADU","127","Level 3","6","17","13","57","34"
201920,"Knowsley","LADU","181","Total","25","72","27","11","46"
201920,"Knowsley","LADU","94","All other qualifications","19","44","14","0","17"
201920,"Knowsley","LADU","48","Level 2","4","18","7","0","19"
201920,"Knowsley","LADU","39","Level 3","2","10","6","11","10"
201718,"Lancashire","LADU","10658","Total","581","1294","1134","5275","2374"
201718,"Lancashire","LADU","1452","All other qualifications","212","462","222","244","312"
201718,"Lancashire","LADU","1523","Level 2","92","282","297","427","425"
201718,"Lancashire","LADU","7683","Level 3","277","550","615","4604","1637"
201819,"Lancashire","LADU","10520","Total","565","1324","1194","5104","2333"
201819,"Lancashire","LADU","1579","All other qualifications","206","524","240","283","326"
201819,"Lancashire","LADU","1881","Level 2","117","334","334","537","559"
201819,"Lancashire","LADU","7060","Level 3","242","466","620","4284","1448"
201920,"Lancashire","LADU","10459","Total","556","1373","1060","5169","2301"
201920,"Lancashire","LADU","1661","All other qualifications","228","524","266","290","353"
201920,"Lancashire","LADU","1256","Level 2","67","298","218","285","388"
201920,"Lancashire","LADU","7542","Level 3","261","551","576","4594","1560"
201718,"Liverpool","LADU","4238","Total","252","528","356","2270","832"
201718,"Liverpool","LADU","426","All other qualifications","71","132","69","72","82"
201718,"Liverpool","LADU","536","Level 2","45","124","72","123","172"
201718,"Liverpool","LADU","3276","Level 3","136","272","215","2075","578"
201819,"Liverpool","LADU","4207","Total","183","578","315","2289","842"
201819,"Liverpool","LADU","411","All other qualifications","48","114","63","88","98"
201819,"Liverpool","LADU","742","Level 2","36","165","94","262","185"
201819,"Liverpool","LADU","3054","Level 3","99","299","158","1939","559"
201920,"Liverpool","LADU","4032","Total","214","565","307","2139","807"
201920,"Liverpool","LADU","447","All other qualifications","49","126","68","100","104"
201920,"Liverpool","LADU","595","Level 2","47","143","86","152","167"
201920,"Liverpool","LADU","2990","Level 3","118","296","153","1887","536"
201718,"Manchester","LADU","5369","Total","466","728","336","2795","1044"
201718,"Manchester","LADU","872","All other qualifications","180","257","102","171","162"
201718,"Manchester","LADU","683","Level 2","82","152","67","168","214"
201718,"Manchester","LADU","3814","Level 3","204","319","167","2456","668"
201819,"Manchester","LADU","5929","Total","434","883","345","3126","1141"
201819,"Manchester","LADU","961","All other qualifications","142","305","97","233","184"
201819,"Manchester","LADU","1016","Level 2","79","238","71","370","258"
201819,"Manchester","LADU","3952","Level 3","213","340","177","2523","699"
201920,"Manchester","LADU","5743","Total","428","862","279","3099","1075"
201920,"Manchester","LADU","974","All other qualifications","173","313","86","192","210"
201920,"Manchester","LADU","633","Level 2","61","162","43","236","131"
201920,"Manchester","LADU","4136","Level 3","194","387","150","2671","734"
201718,"Oldham","LADU","2545","Total","174","367","220","1269","515"
201718,"Oldham","LADU","421","All other qualifications","82","136","52","53","98"
201718,"Oldham","LADU","386","Level 2","32","78","62","101","113"
201718,"Oldham","LADU","1738","Level 3","60","153","106","1115","304"
201819,"Oldham","LADU","2477","Total","113","374","232","1273","485"
201819,"Oldham","LADU","345","All other qualifications","41","111","46","62","85"
201819,"Oldham","LADU","596","Level 2","26","146","81","179","164"
201819,"Oldham","LADU","1536","Level 3","46","117","105","1032","236"
201920,"Oldham","LADU","2488","Total","126","408","194","1322","438"
201920,"Oldham","LADU","336","All other qualifications","44","124","38","67","63"
201920,"Oldham","LADU","352","Level 2","23","100","54","89","86"
201920,"Oldham","LADU","1800","Level 3","59","184","102","1166","289"
201718,"Rochdale","LADU","1990","Total","83","327","196","951","433"
201718,"Rochdale","LADU","400","All other qualifications","35","143","48","93","81"
201718,"Rochdale","LADU","446","Level 2","12","78","58","204","94"
201718,"Rochdale","LADU","1144","Level 3","36","106","90","654","258"
201819,"Rochdale","LADU","2025","Total","86","320","209","1002","408"
