"area","geographic_level","year","Total aged 16-64 None","Total aged 16-64 NVQ1","Total aged 16-64 NVQ2","Total aged 16-64 trade apprenticeships","Total aged 16-64 NVQ3","Total aged 16-64 NVQ4","Total aged 16-64 Other Qualifications","Total aged 16-19 None","Total aged 16-19 NVQ1","Total aged 16-19 NVQ2","Total aged 16-19 trade apprenticeships","Total aged 16-19 NVQ3","Total aged 16-19 NVQ4","Total aged 16-19 Other Qualifications","Total aged 20-24 None","Total aged 20-24 NVQ1","Total aged 20-24 NVQ2","Total aged 20-24 trade apprenticeships","Total aged 20-24 NVQ3","Total aged 20-24 NVQ4","Total aged 20-24 Other Qualifications","Total aged 25-29 None","Total aged 25-29 NVQ1","Total aged 25-29 NVQ2","Total aged 25-29 trade apprenticeships","Total aged 25-29 NVQ3","Total aged 25-29 NVQ4","Total aged 25-29 Other Qualifications","Total aged 30-39 None","Total aged 30-39 NVQ1","Total aged 30-39 NVQ2","Total aged 30-39 trade apprenticeships","Total aged 30-39 NVQ3","Total aged 30-39 NVQ4","Total aged 30-39 Other Qualifications","Total aged 40-49 None","Total aged 40-49 NVQ1","Total aged 40-49 NVQ2","Total aged 40-49 trade apprenticeships","Total aged 40-49 NVQ3","Total aged 40-49 NVQ4","Total aged 40-49 Other Qualifications","Total aged 50-64 None","Total aged 50-64 NVQ1","Total aged 50-64 NVQ2","Total aged 50-64 trade apprenticeships","Total aged 50-64 NVQ3","Total aged 50-64 NVQ4","Total aged 50-64 Other Qualifications"
"Cumbria","LSIP",2021,"18400","37300","51900","16200","53400","95300","12000","0","3700","5800","0","4200","0","0","0","0","2700","0","3600","0","0","0","0","1200","0","8600","7300","0","0","0","7500","1500","9200","20400","0","2800","4100","7200","1600","9600","21300","500","10800","16800","16900","8400","14200","40400","2900"
"Derbyshire and Nottinghamshire","LSIP",2021,"106500","167100","215200","50400","239000","506100","77300","6200","7000","37600","0","6100","0","1200","2200","9100","24700","0","36100","28200","0","2300","5300","8500","1500","25300","60800","3600","8600","13000","22200","2900","44100","126000","15900","10500","22400","25500","6900","41500","122400","5800","44700","65000","70100","15600","61800","155900","21800"
"Dorset","LSIP",2021,"35100","1e+05","136800","36000","166500","368400","44100","6800","4000","23500","0","11500","0","1300","0","8300","11800","0","24200","18500","3400","0","1900","5300","0","18700","40100","1100","2100","6500","14800","5400","28900","90500","7800","1200","19400","19200","5900","27400","91000","10200","15900","42400","53000","15400","44600","124900","10700"
"Enterprise M3 LEP (including all of Surrey)","LSIP",2021,"28800","54800","90900","4200","100400","393700","40000","1700","0","21800","0","10400","0","0","0","2000","3700","0","16000","20000","0","0","0","0","0","2400","41100","0","1500","0","9900","0","11100","93000","0","0","8100","3400","0","11600","113100","4700","9000","24900","25200","1100","29700","119000","12900"
"Essex, Southend-on-Sea and Thurrock","LSIP",2021,"56100","156500","220700","30400","186500","391400","75400","3300","3600","34700","0","6600","0","0","0","2900","5800","0","23500","24500","0","1800","4100","12800","0","16200","44300","500","2200","19900","23000","900","36400","109100","10500","2300","29400","43400","1200","28400","96200","13500","20700","69500","78000","8600","47600","107800","27200"
"Gloucestershire","LSIP",2021,"16100","37700","59400","9300","77200","164100","11300","2700","0","9400","0","10200","0","0","0","2100","1500","0","12600","6100","0","0","0","3200","0","0","17100","0","0","4100","9300","0","12000","40700","1900","1000","5400","10500","0","14600","39000","2200","9300","16700","19400","4900","20700","58400","3100"
"Greater Lincolnshire","LSIP",2021,"57400","84400","121200","24600","112900","206000","45600","4700","2900","16700","0","1200","0","0","1000","1000","6500","800","7700","4500","0","0","900","3300","0","12500","16800","1900","8800","4500","10700","2300","22800","52800","6500","1300","12200","19700","700","18600","46100","7800","25400","41700","46100","9600","28300","70500","13900"
"Greater London","LSIP",2021,"334100","347100","587500","43300","731100","3603700","451500","45000","13800","180300","0","69100","0","0","0","10900","30500","1800","158500","252300","0","3400","4500","20600","2100","56800","557500","14800","25000","45000","57200","0","118000","1218400","106000","61900","59200","72100","0","111900","801700","141700","125800","121900","161100","15600","159400","749800","137800"
"Greater Manchester","LSIP",2021,"148800","171100","303500","49300","310900","698500","102600","19800","17100","59800","0","19600","0","1200","2900","9200","32800","2900","62500","50300","1500","3200","8400","26900","2200","39400","105700","9300","24000","30100","45200","4900","66400","208700","24000","32000","31800","48500","4600","48200","155900","20400","55300","67100","88700","21100","74700","174900","36400"
"Heart of the South-West","LSIP",2021,"57100","114300","169000","43500","196300","384600","40800","3900","5100","20500","0","8600","0","0","600","3800","11000","0","28200","20000","0","0","3000","5300","0","26400","41300","0","800","9300","31800","1900","34100","85100","6600","4200","12200","20600","3100","33500","94400","1700","25800","50700","54400","19200","48200","134200","12800"
