"area","geographic_level","time_period","all_unknown","all_notsust","cohort","appren","education","all_work"
"York and North Yorkshire","LEP",201819,"54","289","7487","422","6439","283"
"York and North Yorkshire","LEP",201920,"48","341","7736","363","6655","329"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201516,"101","750","15241","526","13463","401"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201617,"103","716","14873","516","13106","432"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,"113","693","14482","500","12734","442"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201819,"101","639","14104","358","12543","463"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201920,"136","751","14695","396","12948","464"
"Buckinghamshire ","LSIP",201516,"30","152","5605","189","5115","119"
"Buckinghamshire ","LSIP",201617,"35","126","5496","204","5021","110"
"Buckinghamshire ","LSIP",201718,"35","135","5468","182","5008","108"
"Buckinghamshire ","LSIP",201819,"48","155","5552","148","5071","130"
"Buckinghamshire ","LSIP",201920,"63","162","5673","122","5223","103"
"Cambridgeshire and Peterborough","LSIP",201516,"55","370","7883","318","6883","257"
"Cambridgeshire and Peterborough","LSIP",201617,"66","350","7829","319","6828","266"
"Cambridgeshire and Peterborough","LSIP",201718,"53","352","7693","273","6767","248"
"Cambridgeshire and Peterborough","LSIP",201819,"73","386","7619","293","6591","276"
"Cambridgeshire and Peterborough","LSIP",201920,"60","356","7874","251","6963","244"
"Cheshire and Warrington","LSIP",201516,"64","427","9778","543","8449","295"
"Cheshire and Warrington","LSIP",201617,"59","445","9392","507","8066","315"
"Cheshire and Warrington","LSIP",201718,"82","372","9046","444","7813","335"
"Cheshire and Warrington","LSIP",201819,"65","394","9030","343","7909","319"
"Cheshire and Warrington","LSIP",201920,"85","415","9310","335","8125","350"
"Cornwall and the Isles of Scilly","LSIP",201516,"39","312","5534","296","4743","144"
"Cornwall and the Isles of Scilly","LSIP",201617,"33","291","5406","260","4691","131"
"Cornwall and the Isles of Scilly","LSIP",201718,"31","297","5107","241","4384","154"
"Cornwall and the Isles of Scilly","LSIP",201819,"30","287","5095","274","4346","158"
"Cornwall and the Isles of Scilly","LSIP",201920,"26","280","5067","234","4373","154"
"Cumbria","LSIP",201516,"27","237","5275","543","4278","190"
"Cumbria","LSIP",201617,"26","211","5100","584","4066","213"
"Cumbria","LSIP",201718,"20","191","4863","526","3921","205"
