"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"Worcestershire","LEP",201617,NA,"Further education and skills: Total",12420,16,"Total FE and skills provision","16/17"
"York and North Yorkshire","LEP",201617,NA,"Apprenticeships: Total",6480,16,"Apprenticeships (all ages)","16/17"
"York and North Yorkshire","LEP",201617,NA,"Community learning: Total",5460,16,"Community learning (adults only)","16/17"
"York and North Yorkshire","LEP",201617,NA,"Education and training: Total",7450,16,"Education and training (adults only)","16/17"
"York and North Yorkshire","LEP",201617,NA,"Further education and skills: Total",19330,16,"Total FE and skills provision","16/17"
"Black Country","LEP",201718,NA,"Apprenticeships: Total",7810,17,"Apprenticeships (all ages)","17/18"
"Black Country","LEP",201718,NA,"Community learning: Total",8810,17,"Community learning (adults only)","17/18"
"Black Country","LEP",201718,NA,"Education and training: Total",25070,17,"Education and training (adults only)","17/18"
"Black Country","LEP",201718,NA,"Further education and skills: Total",40430,17,"Total FE and skills provision","17/18"
"Buckinghamshire","LEP",201718,NA,"Apprenticeships: Total",1590,17,"Apprenticeships (all ages)","17/18"
"Buckinghamshire","LEP",201718,NA,"Community learning: Total",4040,17,"Community learning (adults only)","17/18"
"Buckinghamshire","LEP",201718,NA,"Education and training: Total",3940,17,"Education and training (adults only)","17/18"
"Buckinghamshire","LEP",201718,NA,"Further education and skills: Total",9390,17,"Total FE and skills provision","17/18"
"Cheshire and Warrington","LEP",201718,NA,"Apprenticeships: Total",4950,17,"Apprenticeships (all ages)","17/18"
"Cheshire and Warrington","LEP",201718,NA,"Community learning: Total",6940,17,"Community learning (adults only)","17/18"
"Cheshire and Warrington","LEP",201718,NA,"Education and training: Total",11670,17,"Education and training (adults only)","17/18"
"Cheshire and Warrington","LEP",201718,NA,"Further education and skills: Total",23290,17,"Total FE and skills provision","17/18"
"Coast to Capital","LEP",201718,NA,"Apprenticeships: Total",5230,17,"Apprenticeships (all ages)","17/18"
"Coast to Capital","LEP",201718,NA,"Community learning: Total",7560,17,"Community learning (adults only)","17/18"
"Coast to Capital","LEP",201718,NA,"Education and training: Total",15610,17,"Education and training (adults only)","17/18"
"Coast to Capital","LEP",201718,NA,"Further education and skills: Total",28640,17,"Total FE and skills provision","17/18"
"Cornwall and Isles of Scilly","LEP",201718,NA,"Apprenticeships: Total",3420,17,"Apprenticeships (all ages)","17/18"
"Cornwall and Isles of Scilly","LEP",201718,NA,"Community learning: Total",3920,17,"Community learning (adults only)","17/18"
"Cornwall and Isles of Scilly","LEP",201718,NA,"Education and training: Total",7810,17,"Education and training (adults only)","17/18"
"Cornwall and Isles of Scilly","LEP",201718,NA,"Further education and skills: Total",15500,17,"Total FE and skills provision","17/18"
"Coventry and Warwickshire","LEP",201718,NA,"Apprenticeships: Total",4440,17,"Apprenticeships (all ages)","17/18"
"Coventry and Warwickshire","LEP",201718,NA,"Community learning: Total",4050,17,"Community learning (adults only)","17/18"
"Coventry and Warwickshire","LEP",201718,NA,"Education and training: Total",12520,17,"Education and training (adults only)","17/18"
"Coventry and Warwickshire","LEP",201718,NA,"Further education and skills: Total",21130,17,"Total FE and skills provision","17/18"
"Cumbria","LEP",201718,NA,"Apprenticeships: Total",3710,17,"Apprenticeships (all ages)","17/18"
"Cumbria","LEP",201718,NA,"Community learning: Total",3130,17,"Community learning (adults only)","17/18"
"Cumbria","LEP",201718,NA,"Education and training: Total",6550,17,"Education and training (adults only)","17/18"
"Cumbria","LEP",201718,NA,"Further education and skills: Total",13540,17,"Total FE and skills provision","17/18"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201718,NA,"Apprenticeships: Total",13060,17,"Apprenticeships (all ages)","17/18"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201718,NA,"Community learning: Total",19750,17,"Community learning (adults only)","17/18"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201718,NA,"Education and training: Total",33690,17,"Education and training (adults only)","17/18"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201718,NA,"Further education and skills: Total",64850,17,"Total FE and skills provision","17/18"
"Dorset","LEP",201718,NA,"Apprenticeships: Total",4690,17,"Apprenticeships (all ages)","17/18"
"Dorset","LEP",201718,NA,"Community learning: Total",3340,17,"Community learning (adults only)","17/18"
"Dorset","LEP",201718,NA,"Education and training: Total",7270,17,"Education and training (adults only)","17/18"
"Dorset","LEP",201718,NA,"Further education and skills: Total",15590,17,"Total FE and skills provision","17/18"
"Enterprise M3","LEP",201718,NA,"Apprenticeships: Total",5510,17,"Apprenticeships (all ages)","17/18"
"Enterprise M3","LEP",201718,NA,"Community learning: Total",13530,17,"Community learning (adults only)","17/18"
"Enterprise M3","LEP",201718,NA,"Education and training: Total",11420,17,"Education and training (adults only)","17/18"
"Enterprise M3","LEP",201718,NA,"Further education and skills: Total",31070,17,"Total FE and skills provision","17/18"
"Gloucestershire","LEP",201718,NA,"Apprenticeships: Total",3000,17,"Apprenticeships (all ages)","17/18"
"Gloucestershire","LEP",201718,NA,"Community learning: Total",2000,17,"Community learning (adults only)","17/18"
"Gloucestershire","LEP",201718,NA,"Education and training: Total",6300,17,"Education and training (adults only)","17/18"
"Gloucestershire","LEP",201718,NA,"Further education and skills: Total",11400,17,"Total FE and skills provision","17/18"
"Greater Birmingham and Solihull","LEP",201718,NA,"Apprenticeships: Total",11560,17,"Apprenticeships (all ages)","17/18"
"Greater Birmingham and Solihull","LEP",201718,NA,"Community learning: Total",12320,17,"Community learning (adults only)","17/18"
"Greater Birmingham and Solihull","LEP",201718,NA,"Education and training: Total",46660,17,"Education and training (adults only)","17/18"
"Greater Birmingham and Solihull","LEP",201718,NA,"Further education and skills: Total",67220,17,"Total FE and skills provision","17/18"
"Greater Cambridge and Greater Peterborough","LEP",201718,NA,"Apprenticeships: Total",3300,17,"Apprenticeships (all ages)","17/18"
"Greater Cambridge and Greater Peterborough","LEP",201718,NA,"Community learning: Total",8740,17,"Community learning (adults only)","17/18"
"Greater Cambridge and Greater Peterborough","LEP",201718,NA,"Education and training: Total",8180,17,"Education and training (adults only)","17/18"
"Greater Cambridge and Greater Peterborough","LEP",201718,NA,"Further education and skills: Total",19760,17,"Total FE and skills provision","17/18"
"Greater Lincolnshire","LEP",201718,NA,"Apprenticeships: Total",5890,17,"Apprenticeships (all ages)","17/18"
"Greater Lincolnshire","LEP",201718,NA,"Community learning: Total",8850,17,"Community learning (adults only)","17/18"
"Greater Lincolnshire","LEP",201718,NA,"Education and training: Total",16820,17,"Education and training (adults only)","17/18"
"Greater Lincolnshire","LEP",201718,NA,"Further education and skills: Total",30820,17,"Total FE and skills provision","17/18"
"Greater Manchester","LEP",201718,NA,"Apprenticeships: Total",15630,17,"Apprenticeships (all ages)","17/18"
"Greater Manchester","LEP",201718,NA,"Community learning: Total",20870,17,"Community learning (adults only)","17/18"
"Greater Manchester","LEP",201718,NA,"Education and training: Total",53210,17,"Education and training (adults only)","17/18"
"Greater Manchester","LEP",201718,NA,"Further education and skills: Total",85280,17,"Total FE and skills provision","17/18"
"Heart of South West","LEP",201718,NA,"Apprenticeships: Total",770,17,"Apprenticeships (all ages)","17/18"
"Heart of South West","LEP",201718,NA,"Community learning: Total",610,17,"Community learning (adults only)","17/18"
"Heart of South West","LEP",201718,NA,"Education and training: Total",2110,17,"Education and training (adults only)","17/18"
"Heart of South West","LEP",201718,NA,"Further education and skills: Total",3590,17,"Total FE and skills provision","17/18"
"Heart of the South West","LEP",201718,NA,"Apprenticeships: Total",10090,17,"Apprenticeships (all ages)","17/18"
"Heart of the South West","LEP",201718,NA,"Community learning: Total",9590,17,"Community learning (adults only)","17/18"
"Heart of the South West","LEP",201718,NA,"Education and training: Total",23000,17,"Education and training (adults only)","17/18"
"Heart of the South West","LEP",201718,NA,"Further education and skills: Total",42660,17,"Total FE and skills provision","17/18"
