"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"North East","LEP",201718,NA,"Further education and skills: Total",76230,17,"Total FE and skills provision","17/18"
"Oxfordshire","LEP",201718,NA,"Apprenticeships: Total",2320,17,"Apprenticeships (all ages)","17/18"
"Oxfordshire","LEP",201718,NA,"Community learning: Total",5590,17,"Community learning (adults only)","17/18"
"Oxfordshire","LEP",201718,NA,"Education and training: Total",5920,17,"Education and training (adults only)","17/18"
"Oxfordshire","LEP",201718,NA,"Further education and skills: Total",13280,17,"Total FE and skills provision","17/18"
"Sheffield City Region","LEP",201718,NA,"Apprenticeships: Total",8140,17,"Apprenticeships (all ages)","17/18"
"Sheffield City Region","LEP",201718,NA,"Community learning: Total",7690,17,"Community learning (adults only)","17/18"
"Sheffield City Region","LEP",201718,NA,"Education and training: Total",28220,17,"Education and training (adults only)","17/18"
"Sheffield City Region","LEP",201718,NA,"Further education and skills: Total",43640,17,"Total FE and skills provision","17/18"
"Solent","LEP",201718,NA,"Apprenticeships: Total",7990,17,"Apprenticeships (all ages)","17/18"
"Solent","LEP",201718,NA,"Community learning: Total",9340,17,"Community learning (adults only)","17/18"
"Solent","LEP",201718,NA,"Education and training: Total",15140,17,"Education and training (adults only)","17/18"
"Solent","LEP",201718,NA,"Further education and skills: Total",33460,17,"Total FE and skills provision","17/18"
"South East","LEP",201718,NA,"Apprenticeships: Total",17270,17,"Apprenticeships (all ages)","17/18"
"South East","LEP",201718,NA,"Community learning: Total",29330,17,"Community learning (adults only)","17/18"
"South East","LEP",201718,NA,"Education and training: Total",50040,17,"Education and training (adults only)","17/18"
"South East","LEP",201718,NA,"Further education and skills: Total",96650,17,"Total FE and skills provision","17/18"
"South East Midlands","LEP",201718,NA,"Apprenticeships: Total",7100,17,"Apprenticeships (all ages)","17/18"
"South East Midlands","LEP",201718,NA,"Community learning: Total",10110,17,"Community learning (adults only)","17/18"
"South East Midlands","LEP",201718,NA,"Education and training: Total",24300,17,"Education and training (adults only)","17/18"
"South East Midlands","LEP",201718,NA,"Further education and skills: Total",41300,17,"Total FE and skills provision","17/18"
"Stoke-on-Trent and Staffordshire","LEP",201718,NA,"Apprenticeships: Total",7410,17,"Apprenticeships (all ages)","17/18"
"Stoke-on-Trent and Staffordshire","LEP",201718,NA,"Community learning: Total",6570,17,"Community learning (adults only)","17/18"
"Stoke-on-Trent and Staffordshire","LEP",201718,NA,"Education and training: Total",14060,17,"Education and training (adults only)","17/18"
"Stoke-on-Trent and Staffordshire","LEP",201718,NA,"Further education and skills: Total",27370,17,"Total FE and skills provision","17/18"
"Swindon and Wiltshire","LEP",201718,NA,"Apprenticeships: Total",4340,17,"Apprenticeships (all ages)","17/18"
"Swindon and Wiltshire","LEP",201718,NA,"Community learning: Total",2080,17,"Community learning (adults only)","17/18"
"Swindon and Wiltshire","LEP",201718,NA,"Education and training: Total",7030,17,"Education and training (adults only)","17/18"
"Swindon and Wiltshire","LEP",201718,NA,"Further education and skills: Total",14510,17,"Total FE and skills provision","17/18"
"Tees Valley","LEP",201718,NA,"Apprenticeships: Total",5580,17,"Apprenticeships (all ages)","17/18"
"Tees Valley","LEP",201718,NA,"Community learning: Total",6960,17,"Community learning (adults only)","17/18"
"Tees Valley","LEP",201718,NA,"Education and training: Total",22420,17,"Education and training (adults only)","17/18"
"Tees Valley","LEP",201718,NA,"Further education and skills: Total",33650,17,"Total FE and skills provision","17/18"
"Thames Valley Berkshire","LEP",201718,NA,"Apprenticeships: Total",3130,17,"Apprenticeships (all ages)","17/18"
"Thames Valley Berkshire","LEP",201718,NA,"Community learning: Total",10190,17,"Community learning (adults only)","17/18"
"Thames Valley Berkshire","LEP",201718,NA,"Education and training: Total",9760,17,"Education and training (adults only)","17/18"
"Thames Valley Berkshire","LEP",201718,NA,"Further education and skills: Total",22820,17,"Total FE and skills provision","17/18"
"The Marches","LEP",201718,NA,"Apprenticeships: Total",4390,17,"Apprenticeships (all ages)","17/18"
"The Marches","LEP",201718,NA,"Community learning: Total",3090,17,"Community learning (adults only)","17/18"
"The Marches","LEP",201718,NA,"Education and training: Total",8270,17,"Education and training (adults only)","17/18"
"The Marches","LEP",201718,NA,"Further education and skills: Total",16340,17,"Total FE and skills provision","17/18"
"West of England","LEP",201718,NA,"Apprenticeships: Total",4980,17,"Apprenticeships (all ages)","17/18"
"West of England","LEP",201718,NA,"Community learning: Total",3780,17,"Community learning (adults only)","17/18"
"West of England","LEP",201718,NA,"Education and training: Total",16070,17,"Education and training (adults only)","17/18"
"West of England","LEP",201718,NA,"Further education and skills: Total",24890,17,"Total FE and skills provision","17/18"
"Worcestershire","LEP",201718,NA,"Apprenticeships: Total",3080,17,"Apprenticeships (all ages)","17/18"
"Worcestershire","LEP",201718,NA,"Community learning: Total",2410,17,"Community learning (adults only)","17/18"
"Worcestershire","LEP",201718,NA,"Education and training: Total",5710,17,"Education and training (adults only)","17/18"
"Worcestershire","LEP",201718,NA,"Further education and skills: Total",11100,17,"Total FE and skills provision","17/18"
"York and North Yorkshire","LEP",201718,NA,"Apprenticeships: Total",5630,17,"Apprenticeships (all ages)","17/18"
"York and North Yorkshire","LEP",201718,NA,"Community learning: Total",4650,17,"Community learning (adults only)","17/18"
"York and North Yorkshire","LEP",201718,NA,"Education and training: Total",7890,17,"Education and training (adults only)","17/18"
"York and North Yorkshire","LEP",201718,NA,"Further education and skills: Total",17960,17,"Total FE and skills provision","17/18"
"Black Country","LEP",201819,NA,"Apprenticeships: Total",4790,18,"Apprenticeships (all ages)","18/19"
"Black Country","LEP",201819,NA,"Community learning: Total",8500,18,"Community learning (adults only)","18/19"
"Black Country","LEP",201819,NA,"Education and training: Total",25590,18,"Education and training (adults only)","18/19"
"Black Country","LEP",201819,NA,"Further education and skills: Total",37630,18,"Total FE and skills provision","18/19"
"Buckinghamshire","LEP",201819,NA,"Apprenticeships: Total",1130,18,"Apprenticeships (all ages)","18/19"
"Buckinghamshire","LEP",201819,NA,"Community learning: Total",3540,18,"Community learning (adults only)","18/19"
"Buckinghamshire","LEP",201819,NA,"Education and training: Total",3860,18,"Education and training (adults only)","18/19"
"Buckinghamshire","LEP",201819,NA,"Further education and skills: Total",8560,18,"Total FE and skills provision","18/19"
"Cheshire and Warrington","LEP",201819,NA,"Apprenticeships: Total",3440,18,"Apprenticeships (all ages)","18/19"
"Cheshire and Warrington","LEP",201819,NA,"Community learning: Total",6490,18,"Community learning (adults only)","18/19"
"Cheshire and Warrington","LEP",201819,NA,"Education and training: Total",12090,18,"Education and training (adults only)","18/19"
"Cheshire and Warrington","LEP",201819,NA,"Further education and skills: Total",21820,18,"Total FE and skills provision","18/19"
"Coast to Capital","LEP",201819,NA,"Apprenticeships: Total",3540,18,"Apprenticeships (all ages)","18/19"
"Coast to Capital","LEP",201819,NA,"Community learning: Total",7560,18,"Community learning (adults only)","18/19"
"Coast to Capital","LEP",201819,NA,"Education and training: Total",15010,18,"Education and training (adults only)","18/19"
"Coast to Capital","LEP",201819,NA,"Further education and skills: Total",26530,18,"Total FE and skills provision","18/19"
"Cornwall and Isles of Scilly","LEP",201819,NA,"Apprenticeships: Total",2370,18,"Apprenticeships (all ages)","18/19"
"Cornwall and Isles of Scilly","LEP",201819,NA,"Community learning: Total",3640,18,"Community learning (adults only)","18/19"
"Cornwall and Isles of Scilly","LEP",201819,NA,"Education and training: Total",7990,18,"Education and training (adults only)","18/19"
"Cornwall and Isles of Scilly","LEP",201819,NA,"Further education and skills: Total",14480,18,"Total FE and skills provision","18/19"
"Coventry and Warwickshire","LEP",201819,NA,"Apprenticeships: Total",3140,18,"Apprenticeships (all ages)","18/19"
"Coventry and Warwickshire","LEP",201819,NA,"Community learning: Total",4870,18,"Community learning (adults only)","18/19"
"Coventry and Warwickshire","LEP",201819,NA,"Education and training: Total",12140,18,"Education and training (adults only)","18/19"
"Coventry and Warwickshire","LEP",201819,NA,"Further education and skills: Total",20440,18,"Total FE and skills provision","18/19"
"Cumbria","LEP",201819,NA,"Apprenticeships: Total",2690,18,"Apprenticeships (all ages)","18/19"
"Cumbria","LEP",201819,NA,"Community learning: Total",3280,18,"Community learning (adults only)","18/19"
"Cumbria","LEP",201819,NA,"Education and training: Total",7040,18,"Education and training (adults only)","18/19"
"Cumbria","LEP",201819,NA,"Further education and skills: Total",12730,18,"Total FE and skills provision","18/19"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201819,NA,"Apprenticeships: Total",8250,18,"Apprenticeships (all ages)","18/19"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201819,NA,"Community learning: Total",16670,18,"Community learning (adults only)","18/19"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201819,NA,"Education and training: Total",34290,18,"Education and training (adults only)","18/19"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201819,NA,"Further education and skills: Total",58590,18,"Total FE and skills provision","18/19"
"Dorset","LEP",201819,NA,"Apprenticeships: Total",3600,18,"Apprenticeships (all ages)","18/19"
"Dorset","LEP",201819,NA,"Community learning: Total",3590,18,"Community learning (adults only)","18/19"
"Dorset","LEP",201819,NA,"Education and training: Total",8410,18,"Education and training (adults only)","18/19"
"Dorset","LEP",201819,NA,"Further education and skills: Total",15790,18,"Total FE and skills provision","18/19"
"Enterprise M3","LEP",201819,NA,"Apprenticeships: Total",4000,18,"Apprenticeships (all ages)","18/19"
"Enterprise M3","LEP",201819,NA,"Community learning: Total",12720,18,"Community learning (adults only)","18/19"
"Enterprise M3","LEP",201819,NA,"Education and training: Total",11760,18,"Education and training (adults only)","18/19"
"Enterprise M3","LEP",201819,NA,"Further education and skills: Total",29030,18,"Total FE and skills provision","18/19"
"Gloucestershire","LEP",201819,NA,"Apprenticeships: Total",2050,18,"Apprenticeships (all ages)","18/19"
"Gloucestershire","LEP",201819,NA,"Community learning: Total",3150,18,"Community learning (adults only)","18/19"
"Gloucestershire","LEP",201819,NA,"Education and training: Total",6010,18,"Education and training (adults only)","18/19"
"Gloucestershire","LEP",201819,NA,"Further education and skills: Total",11360,18,"Total FE and skills provision","18/19"
"Greater Birmingham and Solihull","LEP",201819,NA,"Apprenticeships: Total",6850,18,"Apprenticeships (all ages)","18/19"
"Greater Birmingham and Solihull","LEP",201819,NA,"Community learning: Total",10860,18,"Community learning (adults only)","18/19"
"Greater Birmingham and Solihull","LEP",201819,NA,"Education and training: Total",44780,18,"Education and training (adults only)","18/19"
"Greater Birmingham and Solihull","LEP",201819,NA,"Further education and skills: Total",61770,18,"Total FE and skills provision","18/19"
"Greater Cambridge and Greater Peterborough","LEP",201819,NA,"Apprenticeships: Total",2080,18,"Apprenticeships (all ages)","18/19"
"Greater Cambridge and Greater Peterborough","LEP",201819,NA,"Community learning: Total",6790,18,"Community learning (adults only)","18/19"
"Greater Cambridge and Greater Peterborough","LEP",201819,NA,"Education and training: Total",8610,18,"Education and training (adults only)","18/19"
"Greater Cambridge and Greater Peterborough","LEP",201819,NA,"Further education and skills: Total",17130,18,"Total FE and skills provision","18/19"
"Greater Lincolnshire","LEP",201819,NA,"Apprenticeships: Total",4130,18,"Apprenticeships (all ages)","18/19"
"Greater Lincolnshire","LEP",201819,NA,"Community learning: Total",9120,18,"Community learning (adults only)","18/19"
"Greater Lincolnshire","LEP",201819,NA,"Education and training: Total",17340,18,"Education and training (adults only)","18/19"
"Greater Lincolnshire","LEP",201819,NA,"Further education and skills: Total",29840,18,"Total FE and skills provision","18/19"
"Greater Manchester","LEP",201819,NA,"Apprenticeships: Total",10350,18,"Apprenticeships (all ages)","18/19"
"Greater Manchester","LEP",201819,NA,"Community learning: Total",19870,18,"Community learning (adults only)","18/19"
"Greater Manchester","LEP",201819,NA,"Education and training: Total",52430,18,"Education and training (adults only)","18/19"
"Greater Manchester","LEP",201819,NA,"Further education and skills: Total",78150,18,"Total FE and skills provision","18/19"
"Heart of the South West","LEP",201819,NA,"Apprenticeships: Total",7360,18,"Apprenticeships (all ages)","18/19"
"Heart of the South West","LEP",201819,NA,"Community learning: Total",12650,18,"Community learning (adults only)","18/19"
"Heart of the South West","LEP",201819,NA,"Education and training: Total",24280,18,"Education and training (adults only)","18/19"
"Heart of the South West","LEP",201819,NA,"Further education and skills: Total",44450,18,"Total FE and skills provision","18/19"
"Hertfordshire","LEP",201819,NA,"Apprenticeships: Total",2460,18,"Apprenticeships (all ages)","18/19"
"Hertfordshire","LEP",201819,NA,"Community learning: Total",5200,18,"Community learning (adults only)","18/19"
