"area","geographic_level","year","  All ","  Economically Active ","Employment","  Employees ","  Self Employed ","  Unemployed ","  Inactive ","empRate","Year"
"Stoke-on-Trent and Staffordshire","LEP","2018",685700,545100,526000,461500,63700,19200,140500,0.767099314569054,18
"Swindon and Wiltshire","LEP","2018",429600,355600,345400,300100,44600,10200,74100,0.804003724394786,18
"Tees Valley","LEP","2018",410700,300400,281600,250100,30100,18800,110300,0.685658631604578,18
"Thames Valley Berkshire","LEP","2018",570200,469600,456500,395000,60200,13000,100700,0.800596282006314,18
"The Marches","LEP","2018",402800,330300,319100,261700,56700,11200,72600,0.792204568023833,18
"West of England","LEP","2018",733000,593200,574400,495700,76800,18800,139800,0.783628922237381,18
"Worcestershire","LEP","2018",348900,284000,272800,231600,40500,11200,64900,0.781885927199771,18
"York and North Yorkshire","LEP","2018",488700,395400,384100,317700,65800,11300,93300,0.785962758338449,18
"Black Country","LEP","2019",731100,542900,513600,451300,61800,29300,188200,0.70250307755437,19
"Buckinghamshire","LEP","2019",325100,268300,260100,214200,44400,8200,56700,0.800061519532452,19
"Cheshire and Warrington","LEP","2019",558900,455800,441500,382300,57600,14300,103100,0.789944533905887,19
"Coast to Capital","LEP","2019",950300,783300,758800,617600,136400,24500,167000,0.798484689045565,19
"Cornwall and Isles of Scilly","LEP","2019",326400,259200,250400,193700,55400,8800,67100,0.767156862745098,19
"Coventry and Warwickshire","LEP","2019",586600,464500,447400,395300,51200,17100,122100,0.762700306853051,19
"Cumbria","LEP","2019",289800,235200,230000,191700,37700,5200,54600,0.793650793650794,19
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","2019",1365400,1069300,1021000,893300,125100,48300,296200,0.747766222352424,19
"Dorset","LEP","2019",445900,357900,349000,290900,57200,8900,88000,0.782686701054048,19
"Enterprise M3","LEP","2019",926700,781000,760900,645900,113700,20100,145700,0.821085572461422,19
"Gloucestershire","LEP","2019",378600,320700,310300,263300,46600,10400,57900,0.81959852086635,19
"Greater Birmingham and Solihull","LEP","2019",1261600,961200,904500,784900,117800,56800,300400,0.716946734305644,19
"Greater Cambridge and Greater Peterborough","LEP","2019",525800,432200,417800,365700,51900,14400,93600,0.794598706732598,19
"Greater Lincolnshire","LEP","2019",660600,513500,491600,430500,59100,21900,147100,0.744171964880412,19
"Greater Manchester","LEP","2019",1784000,1360900,1294700,1118800,171200,66200,423100,0.725728699551569,19
"Heart of the South West","LEP","2019",1013800,831700,803000,667600,131100,28700,182100,0.792069441704478,19
"Hertfordshire","LEP","2019",743400,600600,580300,476600,101200,20300,142800,0.78060263653484,19
"Hull and East Yorkshire","LEP","2019",362100,285500,270500,234500,34700,15000,76500,0.747031206848937,19
"Lancashire","LEP","2019",896200,695400,669900,576000,92300,25500,200800,0.74748939968757,19
"Leeds City Region","LEP","2019",1451500,1103400,1056000,917700,133200,47400,348000,0.727523251808474,19
"Leicester and Leicestershire","LEP","2019",659200,523300,496900,434400,61000,26400,135900,0.753792475728155,19
"Liverpool City Region","LEP","2019",966600,732000,704600,625900,77300,27300,234600,0.728946823918891,19
"London","LEP","2019",6057800,4731600,4509100,3697100,794800,222400,1326200,0.744346132259236,19
"New Anglia","LEP","2019",961600,775400,752000,651400,98300,23400,186200,0.782029950083195,19
"North East","LEP","2019",1228400,937000,884700,774000,108900,52300,291400,0.72020514490394,19
"Oxfordshire","LEP","2019",421500,354800,348700,299300,49000,6100,66600,0.827283511269276,19
"Sheffield City Region","LEP","2019",881000,679600,643500,571200,69400,36200,201400,0.730419977298524,19
"Solent","LEP","2019",770700,609000,587300,509300,75700,21600,161800,0.762034514078111,19
"South East","LEP","2019",2547400,2051200,1981000,1650300,326500,70200,496200,0.777655648896915,19
"South East Midlands","LEP","2019",1049200,849600,823200,717500,103900,26400,199600,0.78459778879146,19
"Stoke-on-Trent and Staffordshire","LEP","2019",683400,548800,528300,465600,61800,20500,134600,0.773046532045654,19
"Swindon and Wiltshire","LEP","2019",429900,349500,339500,290800,47500,10100,80300,0.789718539195162,19
"Tees Valley","LEP","2019",409400,303400,282200,250600,31000,21200,106000,0.689301416707377,19
"Thames Valley Berkshire","LEP","2019",572300,473300,458200,396300,60400,15000,99100,0.800629040712913,19
"The Marches","LEP","2019",401700,329800,320600,263500,54400,9200,71900,0.798108040826487,19
"West of England","LEP","2019",734900,611300,585600,500200,84200,25700,123600,0.796843107905838,19
"Worcestershire","LEP","2019",348700,281800,275300,233600,41300,6500,66900,0.789503871522799,19
"York and North Yorkshire","LEP","2019",486900,394400,385500,324800,59900,8900,92600,0.791743684534812,19
