"subgroup","metric","breakdown","geogConcat","chartPeriod","value","timePeriod","latest","valueText"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,4.56295956070601,2035-01-01,1,"4.5629595607060054"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-8.2658582239134,2035-01-01,1,"-8.2658582239133978"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,0.705539597501103,2035-01-01,1,"0.70553959750110273"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-2.88128699462727,2035-01-01,1,"-2.881286994627267"
"Skilled construction and building trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-5.23097729942956,2035-01-01,1,"-5.2309772994295578"
"Textiles, printing and other skilled trades","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,0.250394312804364,2035-01-01,1,"0.25039431280436375"
"Caring personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,10.8563575429701,2035-01-01,1,"10.856357542970088"
"Leisure, travel and related personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-1.11901965914624,2035-01-01,1,"-1.119019659146236"
"Community and civil enforcement occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-0.172942035180065,2035-01-01,1,"-0.17294203518006546"
"Sales occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-2.91521839469172,2035-01-01,1,"-2.9152183946917205"
"Customer service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,6.67083787914023,2035-01-01,1,"6.6708378791402296"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-0.0512331431638664,2035-01-01,1,"-5.1233143163866401E-2"
"Transport and mobile machine drivers and operatives","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,2.056878823648,2035-01-01,1,"2.0568788236479989"
"Elementary trades and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,17.2617539696227,2035-01-01,1,"17.261753969622685"
"Elementary administration and service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-15.1615946506068,2035-01-01,1,"-15.161594650606801"
"All occupations","wfReplacement","Total","Greater Birmingham and Solihull LEP",2035,76.1439999999991,2035-01-01,1,"76.143999999999096"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LEP",2035,-0.935411413263147,2035-01-01,1,"-0.93541141326314658"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LEP",2035,0.0456697839682505,2035-01-01,1,"4.5669783968250499E-2"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LEP",2035,0.296181630199765,2035-01-01,1,"0.29618163019976507"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LEP",2035,1.45629833803637,2035-01-01,1,"1.4562983380363725"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LEP",2035,0.577085790039643,2035-01-01,1,"0.57708579003964289"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LEP",2035,-2.30662561590346,2035-01-01,1,"-2.3066256159034637"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LEP",2035,4.47435842575845,2035-01-01,1,"4.4743584257584459"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LEP",2035,11.0325910280043,2035-01-01,1,"11.032591028004262"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Buckinghamshire LEP",2035,1.48785203315954,2035-01-01,1,"1.4878520331595411"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,-0.373109894174874,2035-01-01,1,"-0.37310989417487406"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Buckinghamshire LEP",2035,1.86096192733442,2035-01-01,1,"1.8609619273344169"
