"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"Hull and East Yorkshire","LEP",201920,"Level 2","45","267","992","156","226","298"
"Hull and East Yorkshire","LEP",201920,"Level 3","133","365","3733","349","2050","836"
"Hull and East Yorkshire","LEP",201920,"Total","273","957","5683","668","2439","1346"
"Lancashire","LEP",201718,"All other qualifications","81","249","735","126","167","112"
"Lancashire","LEP",201718,"Level 2","47","131","616","75","183","180"
"Lancashire","LEP",201718,"Level 3","101","297","2960","206","1770","586"
"Lancashire","LEP",201718,"Total","229","677","4311","407","2120","878"
"Lancashire","LEP",201819,"All other qualifications","89","226","692","87","158","132"
"Lancashire","LEP",201819,"Level 2","48","226","984","131","315","264"
"Lancashire","LEP",201819,"Level 3","69","245","2602","191","1539","558"
"Lancashire","LEP",201819,"Total","206","697","4278","409","2012","954"
"Lancashire","LEP",201920,"All other qualifications","96","288","760","116","99","161"
"Lancashire","LEP",201920,"Level 2","37","188","619","101","110","183"
"Lancashire","LEP",201920,"Level 3","90","282","2719","152","1587","608"
"Lancashire","LEP",201920,"Total","223","758","4098","369","1796","952"
"Leeds City Region","LEP",201718,"All other qualifications","498","1204","3511","475","618","716"
"Leeds City Region","LEP",201718,"Level 2","262","703","3470","587","983","935"
"Leeds City Region","LEP",201718,"Level 3","568","1346","15933","1371","9661","2987"
"Leeds City Region","LEP",201718,"Total","1328","3253","22914","2433","11262","4638"
"Leeds City Region","LEP",201819,"All other qualifications","483","1143","3300","417","541","716"
"Leeds City Region","LEP",201819,"Level 2","278","907","4296","686","1266","1159"
"Leeds City Region","LEP",201819,"Level 3","451","1161","13938","1122","8524","2680"
"Leeds City Region","LEP",201819,"Total","1212","3211","21534","2225","10331","4555"
"Leeds City Region","LEP",201920,"All other qualifications","428","1124","3373","491","624","706"
"Leeds City Region","LEP",201920,"Level 2","208","902","3617","547","1021","939"
"Leeds City Region","LEP",201920,"Level 3","509","1315","14640","1104","8932","2780"
"Leeds City Region","LEP",201920,"Total","1145","3341","21630","2142","10577","4425"
"Leicester and Leicestershire","LEP",201718,"All other qualifications","107","195","711","82","121","206"
"Leicester and Leicestershire","LEP",201718,"Level 2","44","135","734","123","201","231"
"Leicester and Leicestershire","LEP",201718,"Level 3","104","252","2715","144","1751","464"
"Leicester and Leicestershire","LEP",201718,"Total","255","582","4160","349","2073","901"
"Leicester and Leicestershire","LEP",201819,"All other qualifications","96","176","691","70","137","212"
"Leicester and Leicestershire","LEP",201819,"Level 2","74","187","1112","126","398","327"
"Leicester and Leicestershire","LEP",201819,"Level 3","111","212","2524","134","1643","424"
"Leicester and Leicestershire","LEP",201819,"Total","281","575","4327","330","2178","963"
"Leicester and Leicestershire","LEP",201920,"All other qualifications","105","219","776","76","154","222"
"Leicester and Leicestershire","LEP",201920,"Level 2","56","149","661","108","138","210"
"Leicester and Leicestershire","LEP",201920,"Level 3","112","243","2670","116","1766","433"
