"area","geographic_level","year","Year","jobpc","jobcnt"
"Lancashire","LEP",2018,18,0.0182436418967177,117.5
"Lancashire","LEP",2019,19,0.0181287877464764,103.8
"Lancashire","LEP",2020,20,0.0200998853774357,98.2
"Lancashire","LEP",2021,21,0.0231060606060606,91.5
"Lancashire","LEP",2022,22,0.0207236931802689,152
"Lancashire","LSIP",2017,17,0.0186602870813397,105.3
"Lancashire","LSIP",2018,18,0.0182436418967177,117.5
"Lancashire","LSIP",2019,19,0.0181287877464764,103.8
"Lancashire","LSIP",2020,20,0.0200998853774357,98.2
"Lancashire","LSIP",2021,21,0.0231060606060606,91.5
"Lancashire","LSIP",2022,22,0.0207236931802689,152
"Leeds City Region","LEP",2017,17,0.0464469253942938,262.1
"Leeds City Region","LEP",2018,18,0.0408968108561314,263.4
"Leeds City Region","LEP",2019,19,0.0426847372373684,244.4
"Leeds City Region","LEP",2020,20,0.0443139020795808,216.5
"Leeds City Region","LEP",2021,21,0.0475252525252525,188.2
"Leeds City Region","LEP",2022,22,0.0412428762304693,302.5
"Leicester and Leicestershire","LEP",2017,17,0.0153287258550416,86.5
"Leicester and Leicestershire","LEP",2018,18,0.0137564823153122,88.6
"Leicester and Leicestershire","LEP",2019,19,0.0133084164381648,76.2
"Leicester and Leicestershire","LEP",2020,20,0.0147167185197315,71.9
"Leicester and Leicestershire","LEP",2021,21,0.0162626262626263,64.4
"Leicester and Leicestershire","LEP",2022,22,0.016333542388133,119.8
"Leicester and Leicestershire","LSIP",2017,17,0.0153287258550416,86.5
"Leicester and Leicestershire","LSIP",2018,18,0.0137564823153122,88.6
"Leicester and Leicestershire","LSIP",2019,19,0.0133084164381648,76.2
"Leicester and Leicestershire","LSIP",2020,20,0.0147167185197315,71.9
"Leicester and Leicestershire","LSIP",2021,21,0.0162626262626263,64.4
"Leicester and Leicestershire","LSIP",2022,22,0.016333542388133,119.8
"Liverpool City Region","LEP",2017,17,0.0190678716994506,107.6
"Liverpool City Region","LEP",2018,18,0.0177312672732354,114.2
"Liverpool City Region","LEP",2019,19,0.0187749969436052,107.5
"Liverpool City Region","LEP",2020,20,0.0185442934337645,90.6
"Liverpool City Region","LEP",2021,21,0.0215656565656566,85.4
"Liverpool City Region","LEP",2022,22,0.0209827393450222,153.9
"Liverpool City Region","LSIP",2017,17,0.0190678716994506,107.6
"Liverpool City Region","LSIP",2018,18,0.0177312672732354,114.2
"Liverpool City Region","LSIP",2019,19,0.0187749969436052,107.5
"Liverpool City Region","LSIP",2020,20,0.0185442934337645,90.6
"Liverpool City Region","LSIP",2021,21,0.0215656565656566,85.4
"Liverpool City Region","LSIP",2022,22,0.0209827393450222,153.9
"London","LEP",2017,17,0.0930178982810562,524.9
"London","LEP",2018,18,0.129708412259727,835.4
"London","LEP",2019,19,0.116981329793737,669.8
"London","LEP",2020,20,0.10784755198952,526.9
"London","LEP",2021,21,0.0857575757575758,339.6
"London","LEP",2022,22,0.136312818694953,999.8
"New Anglia","LEP",2017,17,0.0236221867800815,133.3
"New Anglia","LEP",2018,18,0.0226065894481881,145.6
"New Anglia","LEP",2019,19,0.0224776009920184,128.7
"New Anglia","LEP",2020,20,0.0223514000327493,109.2
"New Anglia","LEP",2021,21,0.0281818181818182,111.6
"New Anglia","LEP",2022,22,0.0246366536689117,180.7
"Norfolk and Suffolk ","LSIP",2017,17,0.0236221867800815,133.3
"Norfolk and Suffolk ","LSIP",2018,18,0.0226065894481881,145.6
"Norfolk and Suffolk ","LSIP",2019,19,0.0224776009920184,128.7
"Norfolk and Suffolk ","LSIP",2020,20,0.0223514000327493,109.2
"Norfolk and Suffolk ","LSIP",2021,21,0.0281818181818182,111.6
"Norfolk and Suffolk ","LSIP",2022,22,0.0246366536689117,180.7
"North East","LEP",2017,17,0.0261208576998051,147.4
"North East","LEP",2018,18,0.0232897556128311,150
